Interactor A	Interaction	Interactor B	Interaction detection method(s)	Interaction identifier(s)	Interaction type(s)	Publication Identifier(s)	HostOrganism(s)	NumMethods	NumPublications	Throughput	Weight
P30443	interacts with	P51572	MI:0055(fluorescent resonance energy transfer)|MI:0004(affinity chromatography technology)	BIOGRID_216708|BIOGRID_218028	MI:0407(direct interaction)|MI:0915(physical association)	19342655|17056546	unspecified:32644|unspecified:32644	2	2	1	4
P30443	interacts with	P53618	MI:0004(affinity chromatography technology)	BIOGRID_111727	MI:0915(physical association)	11884415	unspecified:32644	1	1	10	0.2
P30443	interacts with	Q9Y678	MI:0004(affinity chromatography technology)	BIOGRID_111728	MI:0915(physical association)	11884415	unspecified:32644	1	1	10	0.2
P30443	interacts with	Q9BUN8	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_155391|BIOGRID_86071	MI:0915(physical association)|MI:0915(physical association)	21245296|15215855	unspecified:32644|unspecified:32644	1	2	2	1.5
P30443	interacts with	Q5JWF2	MI:0401(biochemical)|MI:0401(biochemical)	BIOGRID_290271|BIOGRID_290272	MI:0914(association)|MI:0915(physical association)	9914489|9914489	unspecified:32644|unspecified:32644	1	1	1	2
P30443	interacts with	P43630	MI:0096(pull down)	BIOGRID_105745	MI:0407(direct interaction)	8617928	unspecified:32644	1	1	2	1
P30443	interacts with	Q8NHL6	MI:0114(x-ray crystallography)	BIOGRID_88472	MI:0914(association)	12897781	unspecified:32644	1	1	3	0.666666667
P30443	interacts with	P49257	MI:0055(fluorescent resonance energy transfer)	BIOGRID_216715	MI:0403(colocalization)	19342655	unspecified:32644	1	1	6	0.333333333
P30443	interacts with	P43355	MI:0096(pull down)	BIOGRID_103318	MI:0407(direct interaction)	8647853	unspecified:32644	1	1	2	1
P30443	interacts with	P43358	MI:0686(unspecified method)|MI:0114(x-ray crystallography)	BIOGRID_216724|BIOGRID_100987	MI:0407(direct interaction)|MI:0914(association)	21815906|11502003	unspecified:32644|unspecified:32644	1	2	1	3
P30443	interacts with	Q13200	MI:0004(affinity chromatography technology)	BIOGRID_155392	MI:0915(physical association)	21245296	unspecified:32644	1	1	7	0.285714286
P30443	interacts with	P61619	MI:0004(affinity chromatography technology)	BIOGRID_208671	MI:0915(physical association)	14644099	unspecified:32644	1	1	3	0.666666667
P30443	interacts with	P40763	MI:0004(affinity chromatography technology)	BIOGRID_286245	MI:0407(direct interaction)	21988832	unspecified:32644	1	1	3521	5.68E-04
P30443	interacts with	Q86TM6	MI:0004(affinity chromatography technology)	BIOGRID_155384	MI:0915(physical association)	21245296	unspecified:32644	1	1	7	0.285714286
P30443	interacts with	Q03518	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_111725|BIOGRID_184538|BIOGRID_111730	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	11884415|17055437|11884415	unspecified:32644|unspecified:32644|unspecified:32644	1	2	10	0.3
P30443	interacts with	Q03519	MI:0004(affinity chromatography technology)	BIOGRID_245066	MI:0915(physical association)	8805302	unspecified:32644	1	1	3	0.666666667
P30443	interacts with	Q15629	MI:0004(affinity chromatography technology)	BIOGRID_201518	MI:0915(physical association)	19121997	unspecified:32644	1	1	4	0.5
P30443	interacts with	Q9Y385	MI:0004(affinity chromatography technology)	BIOGRID_155390	MI:0915(physical association)	21245296	unspecified:32644	1	1	7	0.285714286
P30443	interacts with	P55072	MI:0004(affinity chromatography technology)	BIOGRID_310045	MI:0915(physical association)	20702414	unspecified:32644	1	1	1	2
P25116	interacts with	Q9NQ11	MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)	UniProt_124486|BIOGRID_220393	MI:0915(physical association)|MI:0407(direct interaction)	22645275|22645275	human-293ft:9606|unspecified:32644	2	1	43	0.069767442
P25116	interacts with	Q03135	MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0006(anti bait coimmunoprecipitation)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	BIOGRID_283606|BIOGRID_283599|UniProt_108181|BIOGRID_283598|BIOGRID_283600|BIOGRID_283604|UniProt_108180|UniProt_108178|UniProt_108179	MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|MI:0403(colocalization)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0914(association)	20826780|17848177|20826780|17848177|17848177|20826780|20826780|20826780|20826780	unspecified:32644|unspecified:32644|human-ea.hy926:9606|unspecified:32644|unspecified:32644|unspecified:32644|human-ea.hy926:9606|human-ea.hy926:9606|human-ea.hy926:9606	3	2	1	5
P25116	interacts with	Q9BY43	MI:0004(affinity chromatography technology)	BIOGRID_184597	MI:0915(physical association)	22547407	unspecified:32644	1	1	2	1
P25116	interacts with	Q14254	MI:0004(affinity chromatography technology)	BIOGRID_216518	MI:0915(physical association)	15492257	unspecified:32644	1	1	1	2
P25116	interacts with	Q03113	MI:0004(affinity chromatography technology)|MI:0493(in vivo)	BIOGRID_112197|HPRD_3545	MI:0915(physical association)|-	8290554|8290554	unspecified:32644|-	2	1	4	0.75
P25116	interacts with	Q14344	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0492(in vitro)	UniProt_130217|UniProt_130212|UniProt_130224|BIOGRID_112198|HPRD_3546	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|-	23773523|23773523|23773523|8290554|10922491	human-c4-2b:9606|human-c4-2b:9606|human-c4-2b:9606|unspecified:32644|-	3	3	1	6
P25116	interacts with	P30679	MI:0493(in vivo)	HPRD_35102	-	10644723	-	1	1	3	0.666666667
P25116	interacts with	P50148	MI:0004(affinity chromatography technology)	BIOGRID_213196	MI:0915(physical association)	8982657	unspecified:32644	1	1	2	1
P25116	interacts with	Q5JY77	MI:0096(pull down)|MI:0492(in vitro)	HPRD_30837|innatedb:IDB-225248	MI:0915(physical association)	15452121	taxid:0	2	1	56	0.053571429
P25116	interacts with	Q8WUM4	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_221173|BIOGRID_184598|BIOGRID_184599	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	22833563|22547407|22547407	unspecified:32644|unspecified:32644|unspecified:32644	1	2	2	1.5
P25116	interacts with	Q9UNN8	MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	BIOGRID_283608|UniProt_108182|BIOGRID_283605|UniProt_108180|UniProt_108178|UniProt_108179	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0914(association)	20826780|20826780|20826780|20826780|20826780|20826780	unspecified:32644|human-ea.hy926:9606|unspecified:32644|human-ea.hy926:9606|human-ea.hy926:9606|human-ea.hy926:9606	2	1	5	0.6
P25116	interacts with	Q13596	MI:0493(in vivo)|MI:0096(pull down)|MI:0096(pull down)	HPRD_3544|BIOGRID_96069|BIOGRID_96070	MI:0407(direct interaction)|MI:0915(physical association)	12058063|12058063|12058063	unspecified:32644|unspecified:32644	2	1	1	3
P25116	interacts with	Q15363	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	UniProt_111821|UniProt_184467	MI:0915(physical association)|MI:0915(physical association)	21219331|21219331	human:9606|human:9606	1	1	5	0.4
P05026	interacts with	P56817	MI:0493(in vivo)	HPRD_18114	-	15606899	-	1	1	9	0.222222222
P16615	interacts with	Q13286	MI:0004(affinity chromatography technology)	BIOGRID_273900	MI:0915(physical association)	23464991	unspecified:32644	1	1	89	0.02247191
O15400	interacts with	Q15717	MI:0096(pull down)	BIOGRID_187112	MI:0915(physical association)	19322201	unspecified:32644	1	1	1456	0.001373626
O15400	interacts with	P78347	MI:0004(affinity chromatography technology)	BIOGRID_113831	MI:0915(physical association)	11278762	unspecified:32644	1	1	11	0.181818182
O15400	interacts with	P54920	MI:0492(in vitro)|MI:0096(pull down)	HPRD_12164|BIOGRID_100654	MI:0407(direct interaction)	9417091|9417091	unspecified:32644	2	1	1	3
O15400	interacts with	P46459	MI:0004(affinity chromatography technology)	BIOGRID_125438	MI:0915(physical association)	20562859	unspecified:32644	1	1	879	0.002275313
O15400	interacts with	Q13636	MI:0401(biochemical)	BIOGRID_240926	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O15400	interacts with	Q9Y3A5	MI:0401(biochemical)	BIOGRID_243194	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O15400	interacts with	P22307	MI:0401(biochemical)	BIOGRID_237330	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O15400	interacts with	O95721	MI:0018(two hybrid)|MI:0492(in vitro)	BIOGRID_111862|HPRD_12174	MI:0407(direct interaction)|-	9852078|9852078	unspecified:32644|-	2	1	12	0.25
O15400	interacts with	O60493	MI:0401(biochemical)	BIOGRID_242844	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O15400	interacts with	P04179	MI:0401(biochemical)	BIOGRID_243551	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O15400	interacts with	Q12846	MI:0018(two hybrid)	UniProt_114361	MI:0915(physical association)	21516116	yeast:4932	1	1	747	0.002677376
O15400	interacts with	O43752	MI:0493(in vivo)|MI:0004(affinity chromatography technology)	HPRD_12172|BIOGRID_113832	MI:0915(physical association)	11278762|11278762	unspecified:32644	2	1	11	0.272727273
O15400	interacts with	Q9UNK0	MI:0004(affinity chromatography technology)|MI:0492(in vitro)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)	BIOGRID_106480|HPRD_12170|BIOGRID_106479|HPRD_40411	MI:0915(physical association)|MI:0915(physical association)|-	11101518|12175335|11101518|11278762	unspecified:32644|unspecified:32644|-	3	3	1	6
O15400	interacts with	Q9UMS6	MI:0004(affinity chromatography technology)	BIOGRID_258531	MI:0915(physical association)	23434281	unspecified:32644	1	1	8	0.25
O15400	interacts with	P0CG48	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_269769|BIOGRID_266691|BIOGRID_167422|BIOGRID_172849	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	23000965|22053931|21139048|21890473	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644	1	4	874	0.005720824
O15400	interacts with	P51809	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0493(in vivo)|MI:0493(in vivo)	MINT_43458|UniProt_101999|MINT_73504|HPRD_40411|HPRD_5181	MI:0914(association)|MI:0914(association)|MI:0914(association)|-	19557002|19557002|19557002|11278762|11278762	human:9606|human-hela:9606|human:9606|-	2	2	6	0.666666667
O15400	interacts with	Q9BV40	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	UniProt_102001|MINT_43460|MINT_73506|HPRD_40411|BIOGRID_106477|HPRD_12118|BIOGRID_113833|BIOGRID_106483	MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)	19557002|19557002|19557002|11278762|11101518|11278762|11278762|11101518	human-hela:9606|human:9606|human:9606|unspecified:32644|unspecified:32644|unspecified:32644	3	3	6	1
O15400	interacts with	Q9H270	MI:0004(affinity chromatography technology)|MI:0493(in vivo)|MI:0004(affinity chromatography technology)	BIOGRID_108265|HPRD_12175|BIOGRID_108263	MI:0915(physical association)|MI:0915(physical association)	11382755|11382755|11382755	unspecified:32644|unspecified:32644	2	1	10	0.3
O15400	interacts with	Q9H269	MI:0493(in vivo)	HPRD_12176	-	11382755	-	1	1	10	0.2
O15400	interacts with	Q9P253	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)	BIOGRID_108266|BIOGRID_108264|HPRD_12173	MI:0915(physical association)|MI:0915(physical association)|-	11382755|11382755|11382755	unspecified:32644|unspecified:32644|-	2	1	10	0.3
O15400	interacts with	Q96AJ9	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_106478|BIOGRID_106474	MI:0915(physical association)|MI:0915(physical association)	11101518|11101518	unspecified:32644|unspecified:32644	1	1	7	0.285714286
O15400	interacts with	Q9UEU0	MI:0096(pull down)|MI:0492(in vitro)|MI:0493(in vivo)	BIOGRID_107344|HPRD_12160|HPRD_40411	MI:0407(direct interaction)|-	12114520|12114520|11278762	unspecified:32644|-	3	2	1	5
P15313	interacts with	Q9UL26	MI:0004(affinity chromatography technology)	BIOGRID_227714	MI:0915(physical association)	21674799	unspecified:32644	1	1	56	0.035714286
P15313	interacts with	Q9UNK0	MI:0004(affinity chromatography technology)	BIOGRID_227723	MI:0915(physical association)	21674799	unspecified:32644	1	1	56	0.035714286
P15313	interacts with	Q9H267	MI:0401(biochemical)	BIOGRID_238581	MI:0403(colocalization)	22939629	unspecified:32644	1	1	13683	1.46E-04
O75165	interacts with	P15313	MI:0004(affinity chromatography technology)	BIOGRID_227695	MI:0915(physical association)	21674799	unspecified:32644	1	1	56	0.035714286
O75165	interacts with	P62158	MI:0096(pull down)	BIOGRID_153813	MI:0407(direct interaction)	15840729	unspecified:32644	1	1	91	0.021978022
O75165	interacts with	Q13618	MI:0004(affinity chromatography technology)	BIOGRID_201939	MI:0915(physical association)	21145461	unspecified:32644	1	1	4308	4.64E-04
O75165	interacts with	P00533	MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)	UniProt_113011|UniProt_113009	MI:0403(colocalization)|MI:0403(colocalization)	21510942|21510942	human-hela:9606|human-hela:9606	1	1	2	1
O75165	interacts with	P24522	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	BIOGRID_158668|UniProt_158564|UniProt_179162	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	21900206|21900206|21900206	unspecified:32644|yeast:4932|yeast:4932	1	1	2645	7.56E-04
O75165	interacts with	P49841	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	UniProt_179282|BIOGRID_156367|UniProt_158684	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	21900206|21900206|21900206	yeast:4932|unspecified:32644|yeast:4932	1	1	2645	7.56E-04
O75165	interacts with	P06748	MI:0004(affinity chromatography technology)	BIOGRID_274536	MI:0915(physical association)	23402259	unspecified:32644	1	1	184	0.010869565
O75165	interacts with	Q13596	MI:0004(affinity chromatography technology)	BIOGRID_216387	MI:0915(physical association)	19874558	unspecified:32644	1	1	3	0.666666667
O75165	interacts with	Q9UNE7	MI:0004(affinity chromatography technology)	BIOGRID_129412	MI:0915(physical association)	15538384	unspecified:32644	1	1	11	0.181818182
O75165	interacts with	P0CG48	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_177315|BIOGRID_167884|BIOGRID_266426	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	21906983|21139048|21963094	unspecified:32644|unspecified:32644|unspecified:32644	1	3	3081	0.00129828
Q99700	interacts with	Q99816	MI:0686(unspecified method)	BIOGRID_192293	MI:0915(physical association)	19542561	unspecified:32644	0	1	31	0.032258065
P61769	interacts with	Q30201	MI:0107(surface plasmon resonance)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0492(in vitro)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0004(affinity chromatography technology)|MI:0416(fluorescence microscopy)|MI:0114(x-ray crystallography)	DIP_53037|MINT_46000|MINT_76628|HPRD_7165|MINT_45999|UniProt_109534|MINT_76627|BIOGRID_227743|UniProt_109533|UniProt_65894	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	9546397|20618438|20618438|10791995|20618438|20618438|20618438|20618438|20618438|10638746	human:9606|human:9606|human:9606|human-hutu80:9606|human:9606|unspecified:32644|human-hutu80:9606|in vitro:-1	5	4	1	9
P01891	interacts with	P61769	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	MINT_49298|UniProt_72978|MINT_81317	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	1448153|1448153|1448153	in vitro:-1|in vitro:-1|in vitro:-1	1	1	1	2
P01892	interacts with	P61769	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	UniProt_69114|MINT_49284|MINT_81291|DIP_53042	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	11502003|11502003|11502003|8906788	in vitro:-1|in vitro:-1|in vitro:-1|-	1	2	1	3
P01892	interacts with	P30101	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	MINT_53090|UniProt_90108|MINT_86645	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	17467700|17467700|17467700	human:9606|human-220:9606|human:9606	1	1	2	1
P03989	interacts with	P61769	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	DIP_53075|MINT_49320|MINT_81356|UniProt_71125	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	1525820|12244049|12244049|12244049	in vitro:-1|in vitro:-1|in vitro:-1	1	2	1	3
P03989	interacts with	P06239	MI:0018(two hybrid)	BIOGRID_31200	MI:0407(direct interaction)	14605208	unspecified:32644	1	1	156	0.012820513
P03989	interacts with	P32241	MI:0013(biophysical)	UniProt_113206	MI:0407(direct interaction)	21414141	in vitro:-1	1	1	1	2
P30685	interacts with	P61769	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	UniProt_135482|MINT_49251|MINT_81220	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	8624811|8624811|8624811	in vitro:-1|in vitro:-1|in vitro:-1	1	1	1	2
P10321	interacts with	P61769	MI:0492(in vitro)	HPRD_7082	-	2450918	-	1	1	1	2
P10321	interacts with	P27797	MI:0493(in vivo)	HPRD_5431	-	8769474	-	1	1	5	0.4
P10321	interacts with	P30304	MI:0004(affinity chromatography technology)	BIOGRID_286343	MI:0407(direct interaction)	21988832	unspecified:32644	1	1	3521	5.68E-04
P10321	interacts with	P61073	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_142044|BIOGRID_142043	MI:0407(direct interaction)|MI:0915(physical association)	18083706|18083706	unspecified:32644|unspecified:32644	1	1	2	1
P10321	interacts with	P11021	MI:0493(in vivo)|MI:0004(affinity chromatography technology)	HPRD_34601|BIOGRID_114230	MI:0915(physical association)	7957306|7957306	unspecified:32644	2	1	1	3
P10321	interacts with	P43627	MI:0492(in vitro)|MI:0114(x-ray crystallography)	HPRD_35726|BIOGRID_108825	MI:0914(association)	10850706|10850706	unspecified:32644	2	1	1	3
P10321	interacts with	P43628	MI:0053(fluorescence polarization spectroscopy)|MI:0096(pull down)|MI:0492(in vitro)	BIOGRID_104245|BIOGRID_115986|HPRD_35723|innatedb:IDB-224466	MI:0407(direct interaction)|MI:0915(physical association)	19858347|8692965|9768753	taxid:0|unspecified:32644	3	3	1	6
P10321	interacts with	Q14954	MI:0493(in vivo)	HPRD_35717	-	7650491	-	1	1	1	2
P10321	interacts with	P43631	MI:0096(pull down)|MI:0493(in vivo)	BIOGRID_98976|HPRD_35718	MI:0407(direct interaction)|-	11172020|11172020	unspecified:32644|-	2	1	1	3
P10321	interacts with	P43632	MI:0053(fluorescence polarization spectroscopy)|MI:0493(in vivo)	HPRD_35719|innatedb:IDB-224468	MI:0915(physical association)	19858347|9521070	taxid:0	2	2	1	4
P10321	interacts with	Q8NHL6	MI:0096(pull down)|MI:0492(in vitro)	BIOGRID_88745|HPRD_35721	MI:0407(direct interaction)|-	12853576|12853576	unspecified:32644|-	2	1	9	0.333333333
P10321	interacts with	Q8N423	MI:0096(pull down)|MI:0492(in vitro)	BIOGRID_88742|HPRD_35724	MI:0407(direct interaction)|-	12853576|12853576	unspecified:32644|-	2	1	9	0.333333333
P10321	interacts with	Q03519	MI:0004(affinity chromatography technology)|MI:0493(in vivo)	BIOGRID_115987|HPRD_35715	MI:0915(physical association)|-	9551969|9551969	unspecified:32644|-	2	1	1	3
P10321	interacts with	P67809	MI:0004(affinity chromatography technology)	BIOGRID_285629	MI:0407(direct interaction)	21988832	unspecified:32644	1	1	3521	5.68E-04
P13747	interacts with	P61769	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0492(in vitro)|MI:0492(in vitro)	DIP_53076|BIOGRID_100007|HPRD_7100|HPRD_40501	MI:0407(direct interaction)|MI:0914(association)|-	9660937|9605335|9605335|9545232	unspecified:32644|-	2	3	1	5
P13747	interacts with	P27797	MI:0019(coimmunoprecipitation)|MI:0686(unspecified method)|MI:0004(affinity chromatography technology)|MI:0492(in vitro)	DIP_52332|BIOGRID_271540|BIOGRID_245367|HPRD_40501	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|-	9427624|15383281|9427624|9545232	unspecified:32644|unspecified:32644|-	3	3	2	3
P13747	interacts with	P26715	MI:0493(in vivo)	HPRD_35856	-	9486650	-	1	1	2	1
P13747	interacts with	P26717	MI:0493(in vivo)	HPRD_35858	-	9486650	-	1	1	2	1
P13747	interacts with	Q13241	MI:0493(in vivo)|MI:0096(pull down)	HPRD_35859|BIOGRID_103257	MI:0407(direct interaction)	14734748|9886400	unspecified:32644	2	2	1	4
P13747	interacts with	Q03519	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)	DIP_52331|BIOGRID_245366|HPRD_40243	MI:0915(physical association)|MI:0915(physical association)|-	9427624|9427624|9103419	unspecified:32644|-	3	2	2	2.5
P17693	interacts with	P61769	MI:0493(in vivo)|MI:0492(in vitro)	HPRD_7090|HPRD_40501	-	9228302|9545232	-	2	2	1	4
P17693	interacts with	P53618	MI:0493(in vivo)	HPRD_35756	-	12582157	-	1	1	2	1
P17693	interacts with	P17693	MI:0492(in vitro)|MI:0006(anti bait coimmunoprecipitation)	HPRD_35751|DIP_54290	MI:0407(direct interaction)	12853576|18550825	-	2	2	1	4
P17693	interacts with	Q13241	MI:0493(in vivo)	HPRD_35757	-	9405670	-	1	1	1	2
P17693	interacts with	Q8NHL6	MI:0400(affinity technology)|MI:0400(affinity technology)|MI:0400(affinity technology)|MI:0493(in vivo)	UniProt_102027|MINT_71511|MINT_41600|HPRD_35758	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|-	19583775|19583775|19583775|9933109	in vitro:-1|in vitro:-1|in vitro:-1|-	2	2	1	4
P17693	interacts with	Q8N423	MI:0492(in vitro)	HPRD_35759	-	12853576	-	1	1	9	0.222222222
P17693	interacts with	Q03518	MI:0493(in vivo)	HPRD_35752	-	9103419	-	1	1	6	0.333333333
P17693	interacts with	Q03519	MI:0493(in vivo)	HPRD_35754	-	9103419	-	1	1	6	0.333333333
P56817	interacts with	Q9UK22	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_141184|BIOGRID_141185	MI:0915(physical association)|MI:0407(direct interaction)	20854419|20854419	unspecified:32644|unspecified:32644	1	1	2	1
P56817	interacts with	Q14254	MI:0096(pull down)|MI:0096(pull down)	UniProt_131648|UniProt_131647	MI:0915(physical association)|MI:0914(association)	24612608|24612608	in vitro:-1|in vitro:-1	1	1	2	1
P56817	interacts with	Q9UJY5	MI:0055(fluorescent resonance energy transfer)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0055(fluorescent resonance energy transfer)|MI:0004(affinity chromatography technology)	BIOGRID_194093|BIOGRID_195687|BIOGRID_195686|BIOGRID_195599|BIOGRID_195046|BIOGRID_195600|BIOGRID_195685|BIOGRID_195044|BIOGRID_194094|BIOGRID_195596	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	15466887|15886016|15886016|14567678|15117318|14567678|15886016|15117318|15466887|14567678	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644	3	4	1	7
P56817	interacts with	Q9UJY4	MI:0492(in vitro)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	HPRD_14668|BIOGRID_195601|BIOGRID_195597	MI:0407(direct interaction)|MI:0915(physical association)	12135764|14567678|14567678	unspecified:32644|unspecified:32644	2	2	3	1.333333333
P56817	interacts with	Q9NZ52	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_195598|BIOGRID_195602	MI:0915(physical association)|MI:0407(direct interaction)	14567678|14567678	unspecified:32644|unspecified:32644	1	1	6	0.333333333
P56817	interacts with	Q9NQX7	MI:0493(in vivo)	HPRD_14669	-	15606899	-	1	1	9	0.222222222
P56817	interacts with	Q92945	MI:0493(in vivo)	HPRD_18111	-	15606899	-	1	1	9	0.222222222
P56817	interacts with	Q07954	MI:0493(in vivo)	HPRD_30904	-	15749709	-	1	1	1	2
P56817	interacts with	Q92542	MI:0493(in vivo)|MI:0096(pull down)	HPRD_13629|BIOGRID_110450	MI:0407(direct interaction)	12054507|12054507	unspecified:32644	2	1	1	3
P56817	interacts with	Q8NBP7	MI:0415(enzymatic study)|MI:0415(enzymatic study)	BIOGRID_256336|BIOGRID_256337	MI:0407(direct interaction)|MI:0407(direct interaction)	18660751|18660751	unspecified:32644|unspecified:32644	1	1	2	1
P56817	interacts with	Q96S59	MI:0493(in vivo)	HPRD_18116	-	15606899	-	1	1	9	0.222222222
P56817	interacts with	Q14242	MI:0492(in vitro)	HPRD_16698	-	14507929	-	1	1	1	2
O95415	interacts with	P56817	MI:0493(in vivo)	HPRD_27605	-	15606899	-	1	1	9	0.222222222
P30085	interacts with	P56817	MI:0493(in vivo)	HPRD_18112	-	15606899	-	1	1	9	0.222222222
P48730	interacts with	P56817	MI:0492(in vitro)	HPRD_7926	-	11278841	-	1	1	1	2
P08253	interacts with	P56817	MI:0492(in vitro)	HPRD_22606	-	12586836	-	1	1	1	2
P30101	interacts with	P56817	MI:0493(in vivo)	HPRD_18115	-	15606899	-	1	1	9	0.222222222
P30101	interacts with	Q03135	MI:0004(affinity chromatography technology)	BIOGRID_194727	MI:0915(physical association)	22484374	unspecified:32644	1	1	3	0.666666667
